O_id,D_id,action,R_5_00,R_5_10,R_5_20,R_5_30,R_5_40,R_5_50,R_6_00,R_6_10,R_6_20,R_6_30,R_6_40,R_6_50,R_7_00,R_7_10,R_7_20,R_7_30,R_7_40,R_7_50,R_8_00,R_8_10,R_8_20,R_8_30,R_8_40,R_8_50,R_9_00,R_9_10,R_9_20,R_9_30,R_9_40,R_9_50,R_10_00,R_10_10,R_10_20,R_10_30,R_10_40,R_10_50,R_11_00,R_11_10,R_11_20,R_11_30,R_11_40,R_11_50,R_12_00,R_12_10,R_12_20,R_12_30,R_12_40,R_12_50,R_13_00,R_13_10,R_13_20,R_13_30,R_13_40,R_13_50,R_14_00,R_14_10,R_14_20,R_14_30,R_14_40,R_14_50,R_15_00,R_15_10,R_15_20,R_15_30,R_15_40,R_15_50,R_16_00,R_16_10,R_16_20,R_16_30,R_16_40,R_16_50,R_17_00,R_17_10,R_17_20,R_17_30,R_17_40,R_17_50,R_18_00,R_18_10,R_18_20,R_18_30,R_18_40,R_18_50,R_19_00,dis,cnt,weight,cu
9,10,WEST,19.27505777,28.48247492,37.30900857,45.4423474,52.82354343,59.49671802,65.53957009,71.0340939,76.05544458,80.66860974,84.92826826,88.87982086,92.56073503,96.00185887,99.22858103,102.2618097,105.1187796,107.8137123,110.3583513,209.8426504,241.962604,250.2899095,397.0321484,293.9488121,152.4666116,124.5972862,126.1777137,127.6532456,129.0254768,409.4912665,487.7390482,496.0993064,503.7386769,359.4522359,135.1445549,135.8172844,136.3916116,136.8676572,137.2455005,297.1136494,537.4875392,538.1674374,257.9002129,137.6627894,137.4519122,137.1429018,136.735725,136.2303248,135.6266107,134.9244463,134.1236349,133.2239007,132.2248686,131.1260375,129.9267516,128.6261635,127.2231934,125.7164785,246.0351781,419.6027761,406.5308988,392.9040173,378.7472516,364.0866704,420.2144296,557.1110697,527.6860153,497.6328052,467.024423,435.938138,404.4562284,372.6669909,340.6661586,308.5589118,147.9772084,74.59811917,69.44221777,63.79159204,57.5684428,50.69032444,43.08524574,34.72994534,25.73848305,16.54643291,8.203176608,121.2578417,1,0.008246889,0
11,9,WEST,19.27879076,28.48616394,37.31244443,45.44547105,52.8263607,59.49925817,65.54186789,71.0361825,76.05735309,80.67036286,84.92988653,88.88132125,92.5621315,96.00316289,99.22980207,102.2629555,105.1198567,107.8147259,110.3593059,112.7632974,115.0347137,117.1801695,119.2051184,121.1140473,122.9106381,124.5979011,126.1782861,127.6537764,129.0259664,130.2961284,131.4652673,132.5341689,133.5034389,134.3735373,135.1448071,135.8174979,136.3917864,136.8677937,137.2455986,376.9519911,937.2688153,698.2764251,137.7754972,137.6626974,137.4517824,137.1427345,136.7355201,136.2300823,135.6263307,134.924129,134.1232801,133.2235085,132.2244388,131.1255702,129.9262464,128.6256203,127.2226117,125.7158579,124.1036548,122.3838879,120.5539492,118.6106394,116.5500498,114.3674213,112.0569737,109.6116988,107.0231094,104.2809317,101.3727282,98.28343435,94.99478789,91.48462772,87.72603672,83.68630853,79.32573534,74.59626485,69.44019695,63.78937843,57.5660074,50.68763877,43.08229062,34.72673195,25.73509949,16.54313353,8.20048727,38.00701075,0,0,0
7,11,NORTHWEST,19.27884476,28.48625464,37.31256281,45.44560873,52.82651138,59.49941745,65.5420328,71.03635106,76.05752399,80.67053523,84.93005978,88.88149498,92.56230543,96.00333681,99.2299758,102.2631289,105.1200296,107.8148982,110.3594775,112.7634681,115.0348833,117.1803379,119.2052853,121.1142126,122.9108017,124.5980625,126.1784453,127.653933,129.0261203,130.2962792,131.4654149,132.5343129,133.5035791,134.3736735,135.1449389,135.817625,136.3919086,136.8679106,137.2457101,137.5253557,137.7068752,137.7902828,137.7755837,137.662777,137.4518548,137.1427993,136.7355771,136.2301312,135.6263712,134.9241607,134.1233028,133.2235219,132.2244425,131.1255638,129.9262296,128.6255927,127.222573,125.7158075,124.1035923,122.3838127,120.5538607,118.6105369,116.5499326,114.3672885,112.0568241,109.6115314,107.0229228,104.2807241,101.3724977,98.28317855,94.99450394,91.48431215,87.7256853,83.68591611,79.32529558,74.59576999,69.43963752,63.78874307,57.56528287,50.6868108,43.08134659,34.72566823,25.73393874,16.54196041,8.199496305,59.91401413,0,0,0
12,3,SOUTHWEST,24.26359854,45.22198473,67.19474347,88.57478791,107.9987972,138.4606173,175.9582569,207.2114655,250.6467061,286.1079853,318.2198581,350.3060338,382.2530892,413.9589446,445.3302851,476.2807528,506.7296671,536.6011115,565.8232819,594.3280175,622.0504681,648.9288573,674.904319,699.9207874,723.9249269,746.8660907,768.6963017,789.3702517,808.8453094,827.0815396,844.0417262,859.6914003,873.9988698,886.9352504,898.474495,908.5934235,917.2717498,924.492106,930.2400639,934.5041522,937.2758697,938.5496946,938.3230893,936.5965032,933.3733718,928.6601141,922.4661259,883.7554249,828.6821835,819.1167668,808.2692043,796.1611093,782.8166577,754.2295203,628.10932,594.0899361,520.8408689,387.0364602,216.7370557,170.0442832,126.3736249,118.608272,116.5475127,114.3647063,112.0540709,109.6085965,107.0197935,104.2773853,101.3689309,98.27936147,94.99040973,91.47990815,87.72093178,83.68076475,79.31968761,74.58963421,69.4328885,63.7812804,57.5569936,50.67758007,43.07108785,34.71439809,25.72194652,16.53014027,8.189756637,321.7015061,0,0,0
13,11,WEST,19.28098378,28.4883136,37.31443069,45.44726277,52.82796428,59.50069307,92.15147997,146.6743306,146.9933626,150.2837393,84.93076713,88.88213158,92.56287997,96.00385644,99.2304464,102.2635553,105.1204159,107.8152477,110.3597929,112.7637519,115.0351376,117.1805643,119.2054854,150.5607239,332.8735775,435.7197405,447.425419,458.5005498,468.9246135,130.2963248,131.4654415,132.5343211,133.5035695,134.3736467,135.1448954,135.8175653,136.3918332,136.8678201,137.2456049,137.5252362,137.7067421,137.7901364,177.7778861,377.2365894,535.412137,532.901823,529.6020646,525.5190126,520.6602778,552.8055445,808.0380397,869.8308832,855.116335,839.0688103,752.9593425,534.9293482,259.2870856,125.7155126,124.1032918,122.3835068,120.5535498,118.6102212,116.5496124,114.3669639,112.0564955,109.6111987,107.0225861,104.2803836,101.3721532,98.28282995,94.99415117,91.48395505,87.72532369,83.68554983,79.32492455,74.59539431,69.43925764,63.78836007,57.56489893,50.68642995,43.08097595,34.72531977,25.73363158,16.54172147,8.199352661,90.3382983,0,0,0
8,13,NORTH,19.28263598,28.48997071,37.31599626,45.44870575,52.82928308,59.50189748,65.5442593,71.03835967,76.05934572,80.67219613,84.93158144,88.88289515,92.56359867,96.0045351,99.23108899,102.2641651,105.1209955,194.4661764,262.1731373,273.2773961,284.0325332,294.4223658,212.0103721,140.0657506,122.9113451,124.598563,126.178904,238.7147573,355.6269304,362.5527101,368.9858068,374.915254,380.3308907,511.1238731,644.0230442,650.9939254,656.9716246,661.944602,850.8847227,668.8399769,670.7480434,938.5444909,938.3191285,883.3972197,668.0656658,664.8213087,582.213507,395.7553097,392.314747,388.3302829,383.8088385,599.5463643,758.1566026,815.7034799,705.8325497,803.1041051,783.263567,762.2366626,740.0668281,637.8345026,485.1120945,192.3878237,116.5491769,114.3664983,112.055998,109.6106675,107.0220188,104.2797773,101.3715045,98.28213472,94.99340436,91.48315056,87.7244541,83.68460612,79.32389574,74.59426709,69.43801601,63.78698521,57.56336961,50.68472449,43.07907779,34.72323139,25.73140599,16.53952434,8.197539197,61.39160799,1,0.016288871,0
9,14,NORTH,23.61319696,39.86527579,56.36563141,73.76489972,91.68471098,109.8971741,128.2577158,131.1454067,76.05653325,80.66959009,84.92915511,88.88062633,92.56146907,96.00252959,99.22919514,102.2623726,105.1192961,107.8141861,110.3587857,112.7627958,115.0342299,117.1797031,119.2046688,121.1136143,122.9102216,124.5975008,126.1779022,127.6534087,129.0256153,130.2957938,310.0941938,496.0996316,503.7388801,510.6430281,516.7992218,522.195994,526.8232881,530.6724786,533.736389,815.1254847,777.3828025,938.5427329,938.3182986,936.5939047,933.3729822,928.6619459,922.4701871,914.8100637,790.6729417,667.7091912,508.6551245,501.5296374,493.6731448,485.1002604,475.8269194,465.8703452,455.2490144,443.982618,371.2339995,122.3842048,120.5542961,118.6110176,116.5504607,114.3678667,112.0574556,109.6122196,107.0236719,104.2815394,101.3733851,98.28414544,94.99555911,91.48546628,87.7269514,83.68731005,79.32683678,74.59748211,69.44154926,63.79088864,57.56770155,50.68954411,43.08442932,34.72910516,25.73765045,16.54567382,8.202602399,53.07882062,1,0.018839906,0
14,13,EAST,19.28086094,28.48816286,37.31426365,45.44708727,52.82778516,59.50051315,65.54297704,71.03716726,76.0582318,80.67115075,84.93059609,88.88196269,92.56271317,96.00369164,134.6786318,139.3854749,105.1202567,107.8150903,110.3596374,112.7635984,166.7345361,251.1452222,368.7284369,353.304935,241.801186,186.8259286,253.8869589,127.6538839,129.026054,512.9879139,381.8015325,786.819597,614.3371886,586.1304789,898.4566955,754.2971099,800.3717759,570.185766,732.0304968,775.3001977,737.2586577,698.3013744,538.0464673,537.1275565,535.4113257,532.900974,215.5619275,136.2298822,135.6261197,134.9239075,134.1230485,133.2232672,132.2241882,131.1253105,129.9259781,128.6253437,127.2223271,125.7155656,124.1033551,122.383581,120.5536354,118.6103187,116.5497224,114.3670872,112.0566329,109.6113512,190.7473194,258.3110111,467.0087834,268.7890629,141.9061421,91.48423286,87.72563174,83.68589247,79.3253071,74.59582327,69.43974095,63.78890723,57.56552096,50.6871387,43.08178173,34.72622522,25.73461696,16.54271475,8.200189605,129.6403712,2,0.015427293,0
10,15,NORTH,19.27244687,28.47984456,37.30651316,45.44003836,52.82142528,59.49477677,65.5377861,71.03244727,76.05391726,80.66718613,116.8650208,131.9217094,92.55955185,96.00073856,99.2275174,102.2607975,159.75364,208.7037761,262.160262,273.2649541,284.0205426,223.3553395,137.4500452,121.1126441,122.9093125,124.5966512,126.1771106,127.6526743,129.024937,130.295171,131.4643816,132.5333546,133.5026958,134.3728655,135.1442065,135.8169686,136.3913286,163.2091017,454.5577791,668.8356207,670.7459019,671.6249057,564.6907743,670.2842956,668.0672606,664.824103,660.5610716,655.286385,649.0102188,641.7446889,633.5038323,845.0960804,855.1306227,839.0843418,821.7375808,803.1256329,783.2865293,762.2610137,740.0925193,716.827153,692.5136888,667.2035752,640.95096,613.8127378,585.8486329,557.1213219,527.6966194,497.6437381,467.03566,413.4382028,322.6020015,278.9484233,256.3618577,233.6106192,210.7598052,187.8827266,160.6723223,111.2094306,88.80714393,53.39328117,43.08852271,34.73355869,25.74234247,16.55025192,8.206336583,51.46691035,2,0.03885992,0
15,14,EAST,19.27495827,28.48230196,37.30877974,45.44207928,52.82324865,59.49640543,65.53924572,71.03376177,76.05510735,80.66826924,84.92792569,88.87947706,92.5603906,96.00151425,99.22823659,234.608278,387.305153,536.5494175,473.6344695,256.4478586,115.0335299,117.1790379,119.2040373,121.1130155,122.9096545,124.5969648,126.1773969,127.6529338,129.0251703,130.2953786,131.4645641,132.5335123,133.5028292,134.3729749,135.1442922,135.8170309,136.3913678,136.8674239,137.2452781,137.5249791,137.7065549,137.7900195,137.7753783,137.6626301,137.4517672,137.1427719,136.7356107,136.2302266,135.6265291,134.9243821,433.2834811,501.5322993,493.6760748,485.1034531,475.8303687,465.8740449,455.2529575,443.9867972,432.0964286,419.6038483,663.3968344,667.1975447,640.9448108,613.8064857,585.8422936,422.0674549,484.542148,497.6372373,467.0291404,435.9431323,297.068029,232.0805795,214.2010688,196.1277798,177.8996097,159.5595303,134.5688258,110.9641633,57.56988505,50.69197283,43.08712542,34.73206364,25.74079489,16.5487698,8.205151167,109.0103317,3,0.027520327,0.2828125
16,12,SOUTHEAST,19.29572438,28.5029021,37.32803845,45.45965245,52.83915511,59.51079767,65.55230965,71.04567647,76.06603114,80.67833672,84.93724924,88.88814965,92.56848883,96.00910116,99.2353641,102.2681765,159.7701445,194.4780106,262.1895454,273.2933397,284.0479875,294.437306,304.4453082,314.056297,383.9720687,539.4501062,554.5296712,701.8952844,764.0002773,827.0862553,844.0454802,859.6941967,874.0007149,886.9361522,898.4744637,908.592471,891.1783694,661.9496606,665.9068853,668.8421567,457.4787379,404.7084276,404.6226661,403.9715131,402.7561093,427.2829614,608.0795369,655.271901,392.309082,388.3239602,308.9520996,354.3511288,156.5307356,131.1234502,129.9239534,128.6231529,127.2199683,125.7130362,124.100652,122.3807004,120.5505724,118.6070677,116.5462762,114.3634373,112.0527688,109.6072604,107.0184221,104.2759767,101.3674828,98.27787109,94.98887331,91.47832122,87.71928899,83.67905972,79.31791295,74.58778154,69.43094874,63.77924448,57.55485416,50.67533499,43.06874749,34.7119998,25.71958177,16.52799732,8.188147779,70.82316126,0,0,0
17,12,SOUTHWEST,19.29823816,28.50539487,37.33036819,45.46177775,52.84107837,59.51253746,65.55388852,71.04711614,76.0673508,80.67955269,84.93837513,88.88919672,92.56946635,96.01001679,99.23622411,102.2689861,105.1255294,107.8200682,110.3643407,112.7680435,115.0391868,117.1843826,231.7622452,410.5273546,423.4270301,435.7405465,447.4451411,458.5191521,468.9420624,478.6945412,487.7584842,496.1170506,317.9622365,134.3751056,135.1461712,135.8186587,136.3927445,136.8685497,137.246153,137.5256033,137.7069282,137.7901418,177.7774811,537.1249196,535.4071874,532.8953422,372.379307,369.2426545,905.6746394,895.1234546,883.1586657,869.8043202,855.0873239,839.0374116,821.6871157,803.071737,783.2293143,762.2005986,740.0290306,599.2078409,406.4965409,229.2654769,116.5456928,114.3628194,112.0521145,109.6065677,107.0176883,104.2751988,101.366657,98.27699269,94.98793679,91.47731982,87.71821449,83.67790213,79.31666017,74.58641894,69.42945887,63.77760697,57.55304638,50.67333438,43.06653818,34.70958845,25.71703307,16.52550254,8.186106881,88.80437556,1,0.011260706,0
13,18,NORTH,19.28381887,28.49105752,37.31693394,45.44949215,52.82993409,59.50243299,65.54469794,71.03871736,76.05963549,80.6724285,84.93176485,88.8830364,92.56370326,96.00460748,99.23113283,102.2641834,105.120991,107.8157741,110.3602743,112.7641914,115.0355377,117.1809274,119.2058134,121.1146822,122.9112153,124.5984225,126.1787537,127.6541917,129.0263309,130.2964432,131.4655336,132.5343877,133.5036112,134.3736641,135.1448892,135.817536,136.3917814,136.8677462,137.2455096,456.7015941,937.2662123,938.5412703,938.3159299,936.5906378,933.3688271,137.1423738,136.7351234,136.2296504,135.6258642,134.9236285,134.1227463,133.222942,132.2238401,131.1249399,129.9255849,128.6249281,127.2218891,125.7151052,124.1028721,122.3830752,120.5531064,118.6097662,116.5491457,114.3664855,112.0560051,109.6106961,107.0220708,104.279855,101.3716105,98.28227217,94.993577,91.48336293,87.72471174,83.68491584,79.32426597,74.59470825,69.43854104,63.78760993,57.564113,50.685608,43.08012244,34.72444908,25.73277761,16.54095246,8.198779638,56.34944689,0,0,0
14,19,NORTH,19.27835879,28.48561787,37.31182763,45.44481435,52.82568382,59.49857312,65.54118174,71.03549925,76.0566749,80.6696908,84.92922102,88.8806624,92.56147924,96.00251709,99.22916262,102.2623223,105.1192298,107.8141053,110.3586919,112.7626901,115.0341134,117.1795766,119.2045333,121.1134707,122.9100705,124.597343,126.1777382,127.6532394,129.0254412,130.2956156,131.4647678,132.5336835,319.1028612,886.9093718,898.4504329,908.5712427,917.2515115,924.4738674,930.2238782,934.4900685,777.2711073,938.5399453,938.3155637,856.7964687,654.9887443,532.9012395,529.6018048,370.2762447,135.626221,134.9240497,134.1232323,133.2234932,132.224457,131.125623,129.926335,128.6257459,127.2227758,125.7160618,124.1039003,122.3841766,120.5542833,118.611021,116.5504816,114.3679062,112.0575151,109.6123008,107.0237767,104.2816699,101.3735439,98.28433552,94.99578423,91.48573091,87.72726097,83.68767124,79.32725783,74.59797321,69.44212295,63.7915602,57.56848917,50.69046811,43.0855091,34.73035044,25.73903951,16.54710727,8.203837467,52.68513348,2,0.037961373,0
